orden,linea,entrega,fecha_ingreso_inventario,fecha_aproximada_necesidad,dia_semana_aproximado,mes_aproximado,año_aproximado,fecha_entrega_real,nit_proveedor,CreationDate_proveedor,cantidad,pais,forma_envio,unidad_de_medida/U,terminos_de_pago,categoria_,STATUS_08,cumplio,dias_diferencia_entrega
77725476,01,01,2024-10-24,2024-09-22,Sunday,September,2024,2024-10-26,664298950001,2020-02-19 16:27:29.560,5000.0,BRASIL,AEREO,OZ,A 30 DIAS,CONJUNTO ELÉCTRICO LED,activo,0,34
77725079,02,01,2024-10-24,2024-10-04,Friday,October,2024,2024-10-10,3800343395,2024-03-14 13:01:36.550,70.0,TURKEY,MARITIMO,OZ,GIRO ANTICIPADO,OTROS,activo,0,6
77725840,15,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,20.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,16,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,700.0,ESTADOS UNIDOS,AEREO,LB,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,01,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,10.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,26,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,2.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,25,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,100.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,06,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,12.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,08,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,93.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,09,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
